tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,monh
574,3/1/2020 9:01,3/1/2020 9:11,3196,Riverview Park,40.7443187,-74.0439909,3269,Brunswick & 6th,40.72601173,-74.05038893,42232,Subscriber,1968,1,3
315,3/1/2020 9:07,3/1/2020 9:12,3269,Brunswick & 6th,40.72601173,-74.05038893,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42312,Subscriber,1983,1,3
184,3/1/2020 9:10,3/1/2020 9:13,3278,Monmouth and 6th,40.72568548,-74.04879034,3211,Newark Ave,40.72152515,-74.04630454,42227,Subscriber,1976,2,3
262,3/1/2020 9:16,3/1/2020 9:20,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42350,Subscriber,1991,1,3
1416,3/1/2020 9:17,3/1/2020 9:41,3677,Glenwood Ave,40.72755147,-74.07106072,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42143,Subscriber,1989,1,3
144,3/1/2020 9:18,3/1/2020 9:20,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,42270,Subscriber,1977,1,3
269,3/1/2020 9:18,3/1/2020 9:22,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,42520,Subscriber,1989,2,3
1400,3/1/2020 9:18,3/1/2020 9:41,3677,Glenwood Ave,40.72755147,-74.07106072,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42429,Customer,1969,0,3
649,3/1/2020 9:20,3/1/2020 9:31,3681,Grand St,40.71517768,-74.03768331,3203,Hamilton Park,40.72759597,-74.04424731,42192,Subscriber,1993,1,3
567,3/1/2020 9:20,3/1/2020 9:29,3678,Fairmount Ave,40.72572614,-74.07195926,3220,5 Corners Library,40.73496102,-74.05950308,42582,Subscriber,1970,1,3
450,3/1/2020 9:22,3/1/2020 9:30,3199,Newport Pkwy,40.7287448,-74.0321082,3273,Manila & 1st,40.72165072,-74.04288411,42115,Customer,1995,2,3
113,3/1/2020 9:24,3/1/2020 9:26,3275,Columbus Drive,40.7183552,-74.03891444,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42314,Subscriber,1994,1,3
457,3/1/2020 9:24,3/1/2020 9:31,3639,Harborside,40.7192517,-74.034234,3203,Hamilton Park,40.72759597,-74.04424731,42381,Subscriber,1970,2,3
584,3/1/2020 9:26,3/1/2020 9:35,3187,Warren St,40.7211236,-74.03805095,3209,Brunswick St,40.7241765,-74.0506564,42184,Subscriber,1982,1,3
656,3/1/2020 9:29,3/1/2020 9:40,3203,Hamilton Park,40.72759597,-74.04424731,3639,Harborside,40.7192517,-74.034234,42363,Subscriber,1971,2,3
451,3/1/2020 9:30,3/1/2020 9:37,3278,Monmouth and 6th,40.72568548,-74.04879034,3272,Jersey & 3rd,40.72333159,-74.04595256,42211,Subscriber,1989,1,3
202,3/1/2020 9:32,3/1/2020 9:35,3205,JC Medical Center,40.71653978,-74.04963791,3185,City Hall,40.7177325,-74.043845,42486,Subscriber,1981,1,3
795,3/1/2020 9:33,3/1/2020 9:46,3220,5 Corners Library,40.73496102,-74.05950308,3638,Washington St,40.7242941,-74.0354826,42582,Subscriber,1992,1,3
316,3/1/2020 9:34,3/1/2020 9:40,3213,Van Vorst Park,40.71848892,-74.04772663,3203,Hamilton Park,40.72759597,-74.04424731,42172,Subscriber,1976,1,3
595,3/1/2020 9:37,3/1/2020 9:47,3267,Morris Canal,40.71241882,-74.03852552,3209,Brunswick St,40.7241765,-74.0506564,42472,Subscriber,1990,1,3
323,3/1/2020 9:39,3/1/2020 9:44,3677,Glenwood Ave,40.72755147,-74.07106072,3195,Sip Ave,40.7308971,-74.06391263,42235,Subscriber,1966,1,3
2271,3/1/2020 9:40,3/1/2020 10:18,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42121,Subscriber,1971,2,3
1148,3/1/2020 9:41,3/1/2020 10:00,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,42552,Subscriber,1991,2,3
307,3/1/2020 9:42,3/1/2020 9:47,3681,Grand St,40.71517768,-74.03768331,3211,Newark Ave,40.72152515,-74.04630454,42252,Subscriber,1986,1,3
124,3/1/2020 9:44,3/1/2020 9:46,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,42211,Subscriber,1989,1,3
244,3/1/2020 9:46,3/1/2020 9:50,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,42270,Subscriber,1980,1,3
135,3/1/2020 9:52,3/1/2020 9:54,3681,Grand St,40.71517768,-74.03768331,3275,Columbus Drive,40.7183552,-74.03891444,42453,Subscriber,1978,1,3
545,3/1/2020 9:52,3/1/2020 10:01,3483,Montgomery St,40.71942,-74.05099,3638,Washington St,40.7242941,-74.0354826,42247,Subscriber,1992,1,3
245,3/1/2020 9:52,3/1/2020 9:56,3207,Oakland Ave,40.7376037,-74.0524783,3640,Journal Square,40.73367,-74.0625,42361,Subscriber,1957,1,3
445,3/1/2020 9:55,3/1/2020 10:02,3279,Dixon Mills,40.72163014,-74.04996783,3639,Harborside,40.7192517,-74.034234,42339,Subscriber,1986,1,3
221,3/1/2020 9:55,3/1/2020 9:59,3278,Monmouth and 6th,40.72568548,-74.04879034,3185,City Hall,40.7177325,-74.043845,42211,Subscriber,1988,1,3
171,3/1/2020 9:55,3/1/2020 9:58,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42448,Subscriber,1982,1,3
172,3/1/2020 9:57,3/1/2020 10:00,3186,Grove St PATH,40.71958612,-74.04311746,3272,Jersey & 3rd,40.72333159,-74.04595256,42466,Subscriber,1973,2,3
296,3/1/2020 9:59,3/1/2020 10:03,3483,Montgomery St,40.71942,-74.05099,3209,Brunswick St,40.7241765,-74.0506564,42531,Subscriber,1982,1,3
